ID,AttackDamage,AbilityPower,CriticalHitRate,CriticalDamageRate,HealthMax,HealthRegen,RageMax,RageRegen,VitalMax,VitalRegen,ManaMax,ManaRegen,Armor,MagicResist,ArmorPenetration,MagicPenetration,Stamina
207,0,2960,0,1,5230,0,0,0,0,0,0,0,6000,9200,0,0,0
208,0,3100,0,1,5230,0,0,0,0,0,0,0,6000,9200,0,2400,0
211,2170,0,0.12,1.2,29000,0,0,0,0,0,0,0,6400,4400,1450,0,0
212,2880,0,0.12,1.2,28900,0,0,0,0,0,0,0,12400,10000,3080,0,0
213,4920,0,0.12,1.2,49410,0,0,0,0,0,0,0,2400,2400,5500,0,0
214,3220,0,0.12,1.2,30170,0,0,0,0,0,0,0,7200,7200,3170,0,0
215,3300,0,0.12,1.2,27460,0,0,0,0,0,0,0,5600,6400,880,0,0
216,2230,0,0.24,1.4,26900,0,0,0,0,0,0,0,6400,9200,1450,0,0
217,0,4250,0,1,26180,0,0,0,0,0,0,0,6400,9600,0,0,0
218,0,4420,0,1,26180,0,0,0,0,0,0,0,6400,9600,0,2640,0
251,1860,0,0.12,1.2,8780,0,0,0,0,0,0,0,11400,7600,2380,0,0
252,2730,0,0.12,1.2,13900,0,0,0,0,0,0,0,22800,18240,5040,0,0
253,5290,0,0.12,1.2,38510,0,0,0,0,0,0,0,3800,3800,9000,0,0
254,3150,0,0.12,1.2,12530,0,0,0,0,0,0,0,12920,12920,5180,0,0
255,3260,0,0.12,1.2,7180,0,0,0,0,0,0,0,9880,11400,1440,0,0
256,1930,0,0.24,1.4,8310,0,0,0,0,0,0,0,11400,16720,2380,0,0
257,0,4450,0,1,7470,0,0,0,0,0,0,0,11400,17480,0,0,0
258,0,4660,0,1,7470,0,0,0,0,0,0,0,11400,17480,0,4320,0
261,3280,0,0.12,1.2,45660,0,0,0,0,0,0,0,12300,8500,2620,0,0
262,4320,0,0.12,1.2,40540,0,0,0,0,0,0,0,23700,19140,5540,0,0
263,7400,0,0.12,1.2,83200,0,0,0,0,0,0,0,4700,4700,9900,0,0
264,4830,0,0.12,1.2,45430,0,0,0,0,0,0,0,13820,13820,5700,0,0
265,4960,0,0.12,1.2,42710,0,0,0,0,0,0,0,10780,12300,1580,0,0
266,3360,0,0.24,1.4,40210,0,0,0,0,0,0,0,12300,17620,2620,0,0
267,0,6390,0,1,39040,0,0,0,0,0,0,0,12300,18380,0,0,0
268,0,6640,0,1,39040,0,0,0,0,0,0,0,12300,18380,0,4750,0
301,2340,0,0.12,1.2,11450,0,0,0,0,0,0,0,10500,7000,1980,0,0
302,3450,0,0.12,1.2,18410,0,0,0,0,0,0,0,21000,16800,4200,0,0
304,3980,0,0.12,1.2,16440,0,0,0,0,0,0,0,11900,11900,4320,0,0
305,4110,0,0.12,1.2,9380,0,0,0,0,0,0,0,9100,10500,1200,0,0
306,2430,0,0.24,1.4,10930,0,0,0,0,0,0,0,10500,15400,1980,0,0
307,0,5610,0,1,9830,0,0,0,0,0,0,0,10500,16100,0,0,0
308,0,5880,0,1,9830,0,0,0,0,0,0,0,10500,16100,0,3600,0
311,3280,0,0.12,1.2,57290,0,0,0,0,0,0,0,11000,7500,2180,0,0
312,4320,0,0.12,1.2,51950,0,0,0,0,0,0,0,21500,17300,4620,0,0
314,4830,0,0.12,1.2,57560,0,0,0,0,0,0,0,12400,12400,4750,0,0
315,4960,0,0.12,1.2,53590,0,0,0,0,0,0,0,9600,11000,1320,0,0
316,3360,0,0.24,1.4,50790,0,0,0,0,0,0,0,11000,15900,2180,0,0
317,0,6390,0,1,49280,0,0,0,0,0,0,0,11000,16600,0,0,0
318,0,6640,0,1,49280,0,0,0,0,0,0,0,11000,16600,0,3960,0
351,3510,0,0.12,1.2,15280,0,0,0,0,0,0,0,17700,11800,3560,0,0
352,5170,0,0.12,1.2,22250,0,0,0,0,0,0,0,35400,28320,7560,0,0
354,5970,0,0.12,1.2,21100,0,0,0,0,0,0,0,20060,20060,7780,0,0
355,6170,0,0.12,1.2,12340,0,0,0,0,0,0,0,15340,17700,2160,0,0
356,3650,0,0.24,1.4,13880,0,0,0,0,0,0,0,17700,25960,3560,0,0
357,0,8420,0,1,12430,0,0,0,0,0,0,0,17700,27140,0,0,0
358,0,8820,0,1,12430,0,0,0,0,0,0,0,17700,27140,0,6480,0
361,6190,0,0.12,1.2,75570,0,0,0,0,0,0,0,18700,12800,3920,0,0
362,8180,0,0.12,1.2,62420,0,0,0,0,0,0,0,36400,29320,8320,0,0
364,9140,0,0.12,1.2,73210,0,0,0,0,0,0,0,21060,21060,8560,0,0
365,9380,0,0.12,1.2,69770,0,0,0,0,0,0,0,16340,18700,2380,0,0
366,6360,0,0.24,1.4,63930,0,0,0,0,0,0,0,18700,26960,3920,0,0
367,0,12080,0,1,61830,0,0,0,0,0,0,0,18700,28140,0,0,0
368,0,12560,0,1,61830,0,0,0,0,0,0,0,18700,28140,0,7130,0
401,4470,0,0.12,1.2,22680,0,0,0,0,0,0,0,15000,10000,2970,0,0
403,12740,0,0.12,1.2,104450,0,0,0,0,0,0,0,5000,5000,11250,0,0
404,7600,0,0.12,1.2,31720,0,0,0,0,0,0,0,17000,17000,6480,0,0
405,7850,0,0.12,1.2,18400,0,0,0,0,0,0,0,13000,15000,1800,0,0
406,4640,0,0.24,1.4,20930,0,0,0,0,0,0,0,15000,22000,2970,0,0
408,0,11230,0,1,18770,0,0,0,0,0,0,0,15000,23000,0,5400,0
409,9790,0,0.12,1.2,39590,0,0,0,0,0,0,0,26000,26000,6300,0,0
411,7880,0,0.12,1.2,113500,0,0,0,0,0,0,0,15600,10600,3270,0,0
413,17810,0,0.12,1.2,221230,0,0,0,0,0,0,0,5600,5600,12380,0,0
414,11640,0,0.12,1.2,111150,0,0,0,0,0,0,0,17600,17600,7130,0,0
415,11940,0,0.12,1.2,105210,0,0,0,0,0,0,0,13600,15600,1980,0,0
416,8090,0,0.24,1.4,97380,0,0,0,0,0,0,0,15600,22600,3270,0,0
418,0,16000,0,1,94260,0,0,0,0,0,0,0,15600,23600,0,5940,0
419,14270,0,0.12,1.2,103160,0,0,0,0,0,0,0,26600,26600,6930,0,0
451,6710,0,0.12,1.2,28450,0,0,0,0,0,0,0,24000,16000,5350,0,0
453,19120,0,0.12,1.2,144250,0,0,0,0,0,0,0,8000,8000,20250,0,0
454,11390,0,0.12,1.2,38390,0,0,0,0,0,0,0,27200,27200,11660,0,0
455,11770,0,0.12,1.2,22770,0,0,0,0,0,0,0,20800,24000,3240,0,0
456,6960,0,0.24,1.4,25080,0,0,0,0,0,0,0,24000,35200,5350,0,0
458,0,16840,0,1,22430,0,0,0,0,0,0,0,24000,36800,0,9720,0
459,14690,0,0.12,1.2,45670,0,0,0,0,0,0,0,41600,41600,11340,0,0
461,11830,0,0.12,1.2,141060,0,0,0,0,0,0,0,25100,17100,5890,0,0
463,26720,0,0.12,1.2,300810,0,0,0,0,0,0,0,9100,9100,22280,0,0
464,17450,0,0.12,1.2,133530,0,0,0,0,0,0,0,28300,28300,12830,0,0
465,17900,0,0.12,1.2,129130,0,0,0,0,0,0,0,21900,25100,3560,0,0
466,12130,0,0.24,1.4,115900,0,0,0,0,0,0,0,25100,36300,5890,0,0
468,0,23990,0,1,111870,0,0,0,0,0,0,0,25100,37900,0,10690,0
469,21410,0,0.12,1.2,118390,0,0,0,0,0,0,0,42700,42700,12470,0,0
181,1840,0,0.12,1.2,24480,0,0,0,0,0,0,0,2700,2700,0,0,0
182,2360,0,0.12,1.2,50810,0,0,0,0,0,0,0,4500,4500,1060,0,0
191,3060,0,0.12,1.2,46990,0,0,0,0,0,0,0,9180,9180,3260,0,0
192,3730,0,0.12,1.2,80630,0,0,0,0,0,0,0,9900,9900,4560,0,0
281,2450,0,0.24,1.4,62180,0,0,0,0,0,0,0,10800,10800,2880,0,0
282,0,3550,0,1,97850,0,0,0,0,0,0,0,12100,12100,0,1750,0
291,3690,0,0.24,1.4,84220,0,0,0,0,0,0,0,20520,20520,5180,0,0
292,0,5330,0,1,126370,0,0,0,0,0,0,0,21340,21340,0,3150,0
381,0,7640,0.12,1.2,128240,0,0,0,0,0,0,0,14000,14000,0,4200,0
382,0,11020,0.12,1.2,182240,0,0,0,0,0,0,0,18700,18700,0,5250,0
391,0,11460,0.12,1.2,161160,0,0,0,0,0,0,0,23600,23600,0,7560,0
392,0,16540,0.12,1.2,218170,0,0,0,0,0,0,0,30580,30580,0,9450,0
481,8200,0,0.12,1.2,279310,0,0,0,0,0,0,0,32000,32000,6930,0,0
482,15000,0,0.12,1.2,186210,0,0,0,0,0,0,0,21850,21850,9900,0,0
483,20980,0,0.12,1.2,227710,0,0,0,0,0,0,0,31050,31050,10580,0,0
491,12310,0,0.12,1.2,315230,0,0,0,0,0,0,0,51200,51200,12470,0,0
492,22500,0,0.12,1.2,221300,0,0,0,0,0,0,0,34390,34390,17820,0,0
493,31470,0,0.12,1.2,260870,0,0,0,0,0,0,0,48870,48870,19040,0,0
190,3000,0,0,0,4000,0,0,0,0,0,0,0,5000,5000,36000,0,0
197,900,0,0,0,50000,710,0,0,0,0,0,0,36000,36000,60000,0,0
198,2700,0,0,0,150000,2140,0,0,0,0,0,0,36000,36000,60000,0,0
199,4500,0,0,0,250000,3570,0,0,0,0,0,0,36000,36000,60000,0,0
171,2210,0,0.3,1.4,244800,408,0,0,0,0,0,0,2700,2700,0,0,0
172,2830,0,0.2,1.25,508100,847,0,0,0,0,0,0,3600,3600,1060,0,0
271,2940,0,0.4,1.4,621800,518,0,0,0,0,0,0,8100,8100,2880,0,0
272,0,4260,0,1,978500,815,0,0,0,0,0,0,8800,8800,0,1750,0
371,0,9170,0.2,1.25,1282400,1069,0,0,0,0,0,0,10000,10000,0,4200,0
372,0,13220,0.2,1.25,1822400,1519,0,0,0,0,0,0,13200,13200,0,5250,0
472,18000,0,0.2,1.25,1862100,1552,0,0,0,0,0,0,15200,15200,6930,0,0
1171,3670,0,0.3,1.4,469900,783,0,0,0,0,0,0,9180,9180,3260,0,0
1172,4480,0,0.2,1.25,806300,1344,0,0,0,0,0,0,9900,9900,4560,0,0
1271,4430,0,0.4,1.4,842200,702,0,0,0,0,0,0,20520,20520,5180,0,0
1272,0,6400,0,1,1263700,1053,0,0,0,0,0,0,21340,21340,0,3150,0
1371,0,13750,0.2,1.25,1611600,1343,0,0,0,0,0,0,23600,23600,0,7560,0
1372,0,19850,0.2,1.25,2181700,1818,0,0,0,0,0,0,30580,30580,0,9450,0
1472,27000,0,0.2,1.25,2213000,1844,0,0,0,0,0,0,34390,34390,17820,0,0
2171,34750,0,0.3,1.4,3608200,3007,0,0,0,0,0,0,54000,54000,16320,0,0
2172,35210,0,0.2,1.25,5535100,4613,0,0,0,0,0,0,38160,38160,20520,0,0
2271,31120,0,0.4,1.4,4638400,1933,0,0,0,0,0,0,60480,60480,21600,0,0
2272,0,35780,0,1,6463100,2693,0,0,0,0,0,0,46640,46640,0,11550,0
2371,0,66370,0.2,1.25,6928900,2887,0,0,0,0,0,0,50200,50200,0,25200,0
2372,0,72430,0.2,1.25,6801200,2834,0,0,0,0,0,0,58520,58520,0,27300,0
2472,61460,0,0.2,1.25,9088500,3787,0,0,0,0,0,0,53640,53640,39730,0,0
289,6150,0,0.12,1.2,530050,2650,0,0,0,0,0,0,4000,4000,6880,0,0
299,9250,0,0.12,1.2,823740,4119,0,0,0,0,0,0,7600,7600,12380,0,0
489,22260,0,0.12,1.2,2157070,10785,0,0,0,0,0,0,10000,10000,15480,0,0
499,33400,0,0.12,1.2,2776080,13880,0,0,0,0,0,0,16000,16000,27850,0,0
997,0,0,0,0,914400,13063,0,0,0,0,0,0,1000,1000,0,0,0
998,0,0,0,0,522500,7464,0,0,0,0,0,0,1000,1000,0,0,0
999,0,0,0,0,192500,2750,0,0,0,0,0,0,1000,1000,0,0,0
1000,0,0,0,0,55000,786,0,0,0,0,0,0,1000,1000,0,0,0
1001,0,0,0,0,1500,0,0,0,0,0,0,0,30000,30000,0,0,0
1002,0,0,0,0,3500,0,0,0,0,0,0,0,35000,35000,0,0,0
1003,0,0,0,0,7500,0,0,0,0,0,0,0,40000,40000,0,0,0
1004,0,0,0,0,15500,0,0,0,0,0,0,0,45000,45000,0,0,0
1005,0,0,0,0,31000,0,0,0,0,0,0,0,60000,60000,0,0,0
1006,0,0,0,0,40300,0,0,0,0,0,0,0,60000,60000,0,0,0
1007,0,0,0,0,52400,0,0,0,0,0,0,0,60000,60000,0,0,0
1008,0,0,0,0,68100,0,0,0,0,0,0,0,60000,60000,0,0,0
121,8100,0,0.2,1.25,45000,1500,0,0,0,0,0,0,30000,20000,7920,0,0
122,11850,0,0.2,1.25,59540,1980,0,0,0,0,0,0,60000,48000,16800,0,0
123,23110,0,0.2,1.25,239670,7990,0,0,0,0,0,0,10000,10000,30000,0,0
124,13730,0,0.2,1.25,59720,1990,0,0,0,0,0,0,34000,34000,17280,0,0
125,14220,0,0.2,1.25,35800,1190,0,0,0,0,0,0,26000,30000,4800,0,0
126,8390,0,0.4,1.5,38850,1300,0,0,0,0,0,0,30000,44000,7920,0,0
131,14280,0,0.2,1.25,207870,6930,0,0,0,0,0,0,31500,21500,11780,0,0
132,18780,0,0.2,1.25,174410,5810,0,0,0,0,0,0,61500,49500,20660,0,0
133,32290,0,0.2,1.25,555010,18500,0,0,0,0,0,0,11500,11500,33860,0,0
134,21040,0,0.2,1.25,206050,6870,0,0,0,0,0,0,35500,35500,21140,0,0
135,21630,0,0.2,1.25,185770,6190,0,0,0,0,0,0,27500,31500,8660,0,0
136,14630,0,0.4,1.5,169460,5650,0,0,0,0,0,0,31500,45500,11780,0,0
221,11340,0,0.2,1.25,58960,660,0,0,0,0,0,0,33600,22400,9900,0,0
222,16590,0,0.2,1.25,76530,850,0,0,0,0,0,0,67200,53760,21000,0,0
223,32350,0,0.2,1.25,322100,3580,0,0,0,0,0,0,11200,11200,37500,0,0
224,19220,0,0.2,1.25,77600,860,0,0,0,0,0,0,38080,38080,21600,0,0
225,19910,0,0.2,1.25,46750,520,0,0,0,0,0,0,29120,33600,6000,0,0
226,11750,0,0.4,1.5,50370,560,0,0,0,0,0,0,33600,49280,9900,0,0
227,0,27240,0,1,44960,500,0,0,0,0,0,0,33600,51520,0,0,0
228,0,28340,0.2,0.125,44960,500,0,0,0,0,0,0,33600,51520,0,18000,0
231,20000,0,0.2,1.25,219430,2440,0,0,0,0,0,0,35100,23900,14730,0,0
232,26300,0,0.2,1.25,192600,2140,0,0,0,0,0,0,68700,55260,25830,0,0
233,45210,0,0.2,1.25,665290,7390,0,0,0,0,0,0,12700,12700,42330,0,0
234,29450,0,0.2,1.25,224040,2490,0,0,0,0,0,0,39580,39580,26430,0,0
235,30280,0,0.2,1.25,193130,2150,0,0,0,0,0,0,30620,35100,10830,0,0
236,20490,0,0.4,1.5,178320,1980,0,0,0,0,0,0,35100,50780,14730,0,0
237,0,39080,0,1,168560,1870,0,0,0,0,0,0,35100,53020,0,4830,0
238,0,40400,0.2,0.125,168560,1870,0,0,0,0,0,0,35100,53020,0,22830,0
321,14740,0,0.2,1.25,71480,790,0,0,0,0,0,0,37650,25100,11880,0,0
322,21570,0,0.2,1.25,91110,1010,0,0,0,0,0,0,75300,60240,25200,0,0
324,24990,0,0.2,1.25,93340,1040,0,0,0,0,0,0,42670,42670,25920,0,0
325,25890,0,0.2,1.25,56520,630,0,0,0,0,0,0,32630,37650,7200,0,0
326,15280,0,0.4,1.5,60470,670,0,0,0,0,0,0,37650,55220,11880,0,0
327,0,35410,0,1,53930,600,0,0,0,0,0,0,37650,57730,0,0,0
328,0,36850,0.2,0.125,53930,600,0,0,0,0,0,0,37650,57730,0,21600,0
331,25990,0,0.2,1.25,229110,2550,0,0,0,0,0,0,39150,26600,17680,0,0
332,34190,0,0.2,1.25,207650,2310,0,0,0,0,0,0,76800,61740,31000,0,0
334,38290,0,0.2,1.25,239230,2660,0,0,0,0,0,0,44170,44170,31720,0,0
335,39370,0,0.2,1.25,198980,2210,0,0,0,0,0,0,34130,39150,13000,0,0
336,26640,0,0.4,1.5,185430,2060,0,0,0,0,0,0,39150,56720,17680,0,0
337,0,50800,0,1,174090,1930,0,0,0,0,0,0,39150,59230,0,5800,0
338,0,52520,0.2,0.125,174090,1930,0,0,0,0,0,0,39150,59230,0,27400,0
421,17690,0,0.2,1.25,79810,890,0,0,0,0,0,0,42150,28100,13860,0,0
423,50470,0,0.2,1.25,458810,5100,0,0,0,0,0,0,14050,14050,52500,0,0
424,29980,0,0.2,1.25,103420,1150,0,0,0,0,0,0,47770,47770,30240,0,0
425,31060,0,0.2,1.25,62920,700,0,0,0,0,0,0,36530,42150,8400,0,0
426,18330,0,0.4,1.5,66870,740,0,0,0,0,0,0,42150,61820,13860,0,0
428,0,44220,0.2,1.25,59600,660,0,0,0,0,0,0,42150,64630,0,25200,0
429,38830,0,0.2,1.25,117080,1300,0,0,0,0,0,0,73060,73060,29400,0,0
431,31190,0,0.2,1.25,233000,2590,0,0,0,0,0,0,43650,29600,20620,0,0
433,70530,0,0.2,1.25,846260,9400,0,0,0,0,0,0,15550,15550,59260,0,0
434,45940,0,0.2,1.25,246580,2740,0,0,0,0,0,0,49270,49270,37000,0,0
435,47240,0,0.2,1.25,200290,2230,0,0,0,0,0,0,38030,43650,15160,0,0
436,31960,0,0.4,1.5,187550,2080,0,0,0,0,0,0,43650,63320,20620,0,0
438,0,63030,0.2,1.25,175210,1950,0,0,0,0,0,0,43650,66130,0,31960,0
439,56560,0,0.2,1.25,241960,2690,0,0,0,0,0,0,74560,74560,36160,0,0
141,28960,0,0.3,1.4,360820,900,0,0,0,0,0,0,54000,54000,16320,0,0
142,29340,0,0.2,1.25,553510,1380,0,0,0,0,0,0,38160,38160,20520,0,0
241,25930,0,0.4,1.4,463840,1160,0,0,0,0,0,0,60480,60480,21600,0,0
242,0,29820,0,1,646310,810,0,0,0,0,0,0,46640,46640,0,11550,0
341,0,55310,0.2,1.25,692890,1570,0,0,0,0,0,0,50200,50200,0,25200,0
342,0,60360,0.2,1.25,680120,1700,0,0,0,0,0,0,58520,58520,0,27300,0
441,37330,0,0.2,1.25,908850,1820,0,0,0,0,0,0,75870,75870,32340,0,0
442,51220,0,0.2,1.25,878990,3260,0,0,0,0,0,0,53640,53640,39730,0,0
443,59460,0,0.35,1.3,801120,8900,0,0,0,0,0,0,68540,68540,42440,0,0
249,56510,0,0.2,1.25,2344320,11722,0,0,0,0,0,0,22400,22400,52910,0,0
449,88160,0,0.2,1.25,3212190,16061,0,0,0,0,0,0,28100,28100,74080,0,0
901,1850,0,0.2,1.25,13480,220,0,0,0,0,0,0,4250,4250,2500,0,0
911,2775,0,0.2,1.25,46430,770,0,0,0,0,0,0,4625,4625,3250,0,0
921,7510,0,0.2,1.25,53960,600,0,0,0,0,0,0,14450,14450,9380,0,0
931,11265,0,0.2,1.25,185600,2060,0,0,0,0,0,0,15035,15035,12194,0,0
941,17310,0,0.2,1.25,111700,930,0,0,0,0,0,0,30600,30600,30380,0,0
951,22503,0,0.2,1.25,383860,3200,0,0,0,0,0,0,31513,31513,39494,0,0
902,1850,0,0.2,1.25,13480,220,0,0,0,0,0,0,4250,4250,2500,0,0
912,2775,0,0.2,1.25,46430,770,0,0,0,0,0,0,4625,4625,3250,0,0
922,7510,0,0.2,1.25,53960,600,0,0,0,0,0,0,14450,14450,9380,0,0
932,11265,0,0.2,1.25,185600,2060,0,0,0,0,0,0,15035,15035,12194,0,0
942,17310,0,0.2,1.25,111700,930,0,0,0,0,0,0,30600,30600,30380,0,0
952,22503,0,0.2,1.25,383860,3200,0,0,0,0,0,0,31513,31513,39494,0,0
