ID,Item1,Item2,Item3,HellItem1,HellItem2,HellItem3,EXP_0,EXP_1,EXP_2,Gold1,Gold1Rate,Gold2,Gold2Rate,Meat,Material1,Material1Rate,Material2,Material2Rate,HellGold1,HellGold1Rate,HellGold2,HellGold2Rate,HellMeat,HellMaterial1,HellMaterial1Rate,HellMaterial2,HellMaterial2Rate,WeeklyDungeon
32,71007,72007,73007,31015,32015,33015,14340,32180,908360,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
33,51005,52005,53005,41015,42015,43015,14990,33480,923170,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
34,31005,32005,33005,21015,22015,23015,15660,34820,938090,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
35,11004,13004,16004,71024,72024,73024,16360,36220,953130,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
36,41005,42005,43005,31016,32016,33016,17080,37660,968280,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
37,61004,62004,63004,41016,42016,43016,17820,39140,983540,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
38,71008,72008,73008,51015,52015,53015,18590,40680,998920,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
39,21005,22005,23005,61014,62014,63014,19380,42260,1014410,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
40,12004,14004,15004,12010,14010,16010,20200,43900,1030020,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
41,41006,42006,43006,71025,72025,73025,25050,53600,1045750,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
42,71009,72009,73009,51016,52016,53016,26060,55620,1061590,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
43,61005,62005,63005,61015,62015,63015,27100,57700,1077550,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
44,31006,32006,33006,21016,22016,23016,28170,59840,1093630,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
45,12005,14005,16005,71026,72026,73026,29280,62060,1109830,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
46,51006,52006,53006,31017,32017,33017,30430,64360,1126150,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
47,21006,22006,23006,41017,42017,43017,31610,66720,1142600,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
48,71010,72010,73010,51017,52017,53017,32830,69160,1159170,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
49,61006,62006,63006,61016,62016,63016,34090,71680,1175860,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
50,11005,13005,15005,11011,13011,15011,35390,74280,1192680,3000,80,17000,20,1,100005,75,100007,25,6300,80,35000,20,1,100011,75,100013,25,0
51,51007,52007,53007,71027,72027,73027,36740,76980,1209630,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
52,71011,72011,73011,21017,22017,23017,38130,79760,1226700,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
53,31007,32007,33007,31018,32018,33018,39570,82640,1243900,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
54,41007,42007,43007,21018,22018,23018,41060,85620,1261230,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
55,11006,13006,16006,71028,72028,73028,42590,88680,1278690,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
56,71012,72012,73012,31019,32019,33019,44180,91860,1296280,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
57,61007,62007,63007,41018,42018,43018,45820,95140,1314000,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
58,51008,52008,53008,51018,52018,53018,47510,98520,1331860,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
59,21007,22007,23007,61017,62017,63017,49260,102020,1349850,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
60,12006,14006,15006,12011,14011,16011,51070,105640,1367970,3000,80,17000,20,1,100006,75,100008,25,6300,80,35000,20,1,100011,75,100013,25,0
61,71013,72013,73013,71029,72029,73029,58940,121380,1386230,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
62,41008,42008,43008,41019,42019,43019,61070,125640,1404630,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
63,61008,62008,63008,51019,52019,53019,63270,130040,1423160,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
64,31008,32008,33008,21019,22019,23019,65540,134580,1441830,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
65,12007,13007,15007,71030,72030,73030,67880,139260,1460640,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
66,71014,72014,73014,31020,32020,33020,70300,144100,1479590,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
67,21008,22008,23008,41020,42020,43020,72800,149100,1498690,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
68,41009,42009,43009,51020,52020,53020,75380,154260,1517930,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
69,51009,52009,53009,61018,62018,63018,78050,159600,1537310,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
70,12008,13008,15008,11012,13012,15012,80810,165120,1556840,3700,80,20000,20,1,100007,75,100009,25,7500,80,41000,20,1,100012,75,100014,25,0
71,71015,72015,73015,71031,72031,73031,83660,170820,1576520,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
72,31009,32009,33009,21020,22020,23020,86600,176700,1596340,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
73,61009,62009,63009,61019,62019,63019,89640,182780,1616310,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
74,41010,42010,43010,21021,22021,23021,92780,189060,1636430,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
75,11007,14007,16007,71032,72032,73032,96020,195540,1656700,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
76,71016,72016,73016,31021,32021,33021,99370,202240,1677130,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
77,51010,52010,53010,41021,42021,43021,102830,209160,1697710,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
78,31010,32010,33010,51021,52021,53021,106400,216300,1718440,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
79,21009,22009,23009,61020,62020,63020,110090,223680,1739330,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
80,11008,14008,16008,12012,14012,16012,113900,231300,1760370,3700,80,20000,20,1,100008,75,100010,25,7500,80,41000,20,1,100012,75,100014,25,0
197,80999,80999,80999,,,,0,0,0,,,,,,,,,,,,,,,,,,,0
201,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1
202,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1
1201,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1
1202,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1
2201,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1
2202,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,1
