LV,EXP,SUM_EXP
313,158441000,21272761000 
314,159216000,21431977000 
315,159994000,21591971000 
316,160774000,21752745000 
317,161556000,21914301000 
318,162341000,22076642000 
319,163128000,22239770000 
320,163917000,22403687000 
321,164709000,22568396000 
322,165503000,22733899000 
323,166300000,22900199000 
324,167099000,23067298000 
325,167900000,23235198000 
326,168704000,23403902000 
327,169510000,23573412000 
328,170319000,23743731000 
329,171130000,23914861000 
330,171943000,24086804000 
331,172759000,24259563000 
332,173577000,24433140000 
333,174398000,24607538000 
334,175221000,24782759000 
335,176047000,24958806000 
336,176875000,25135681000 
337,177706000,25313387000 
338,178539000,25491926000 
339,179375000,25671301000 
340,180213000,25851514000 
341,181054000,26032568000 
342,181897000,26214465000 
343,182743000,26397208000 
344,183591000,26580799000 
345,184442000,26765241000 
346,185295000,26950536000 
347,186151000,27136687000 
348,187009000,27323696000 
349,187870000,27511566000 
350,188734000,27700300000 
351,189600000,27889900000 
352,190469000,28080369000 
353,191340000,28271709000 
354,192214000,28463923000 
355,193091000,28657014000 
356,193970000,28850984000 
357,194852000,29045836000 
358,195737000,29241573000 
359,196624000,29438197000 
360,197514000,29635711000 
361,198407000,29834118000 
362,199302000,30033420000 
363,200200000,30233620000 
364,201101000,30434721000 
365,202004000,30636725000 
366,202910000,30839635000 
367,203819000,31043454000 
368,204730000,31248184000 
369,205644000,31453828000 
370,206561000,31660389000 
371,207481000,31867870000 
372,208403000,32076273000 
373,209328000,32285601000 
374,210256000,32495857000 
375,211187000,32707044000 
376,212121000,32919165000 
377,213057000,33132222000 
378,213996000,33346218000 
379,214938000,33561156000 
380,215883000,33777039000 
381,216831000,33993870000 
382,217781000,34211651000 
383,218734000,34430385000 
384,219690000,34650075000 
385,220649000,34870724000 
386,221611000,35092335000 
387,222576000,35314911000 
388,223544000,35538455000 
389,224515000,35762970000 
390,225489000,35988459000 
391,226465000,36214924000 
392,227444000,36442368000 
393,228426000,36670794000 
394,229411000,36900205000 
395,230399000,37130604000 
396,231390000,37361994000 
397,232384000,37594378000 
398,233381000,37827759000 
399,234381000,38062140000 
400,235384000,38297524000 
401,236390000,38533914000 
402,237399000,38771313000 
403,238411000,39009724000 
404,239426000,39249150000 
405,240444000,39489594000 
406,241465000,39731059000 
407,242489000,39973548000 
408,243516000,40217064000 
409,244547000,40461611000 
410,245581000,40707192000 
411,246618000,40953810000 
412,247658000,41201468000 
413,248701000,41450169000 
414,249747000,41699916000 
415,250796000,41950712000 
416,251848000,42202560000 
417,252904000,42455464000 
418,253963000,42709427000 
419,255025000,42964452000 
420,256090000,43220542000 
421,257158000,43477700000 
422,258229000,43735929000 
423,259304000,43995233000 
424,260382000,44255615000 
425,261463000,44517078000 
426,262547000,44779625000 
427,263635000,45043260000 
428,264726000,45307986000 
429,265820000,45573806000 
430,266917000,45840723000 
431,268018000,46108741000 
432,269122000,46377863000 
433,270229000,46648092000 
434,271340000,46919432000 
435,272454000,47191886000 
436,273571000,47465457000 
437,274692000,47740149000 
438,275816000,48015965000 
439,276943000,48292908000 
440,278074000,48570982000 
441,279208000,48850190000 
442,280346000,49130536000 
443,281487000,49412023000 
444,282631000,49694654000 
445,283779000,49978433000 
446,284930000,50263363000 
447,286085000,50549448000 
448,287243000,50836691000 
449,288405000,51125096000 
450,289570000,51414666000 
451,290739000,51705405000 
452,291911000,51997316000 
453,293087000,52290403000 
454,294266000,52584669000 
455,295449000,52880118000 
456,296635000,53176753000 
457,297825000,53474578000 
458,299018000,53773596000 
459,300215000,54073811000 
460,301416000,54375227000 
461,302620000,54677847000 
462,303828000,54981675000 
463,305039000,55286714000 
464,306254000,55592968000 
465,307473000,55900441000 
466,308695000,56209136000 
467,309921000,56519057000 
468,311151000,56830208000 
469,312384000,57142592000 
470,313621000,57456213000 
471,314862000,57771075000 
472,316107000,58087182000 
473,317355000,58404537000 
474,318607000,58723144000 
475,319863000,59043007000 
476,321123000,59364130000 
477,322386000,59686516000 
478,323653000,60010169000 
479,324924000,60335093000 
480,326199000,60661292000 
481,327478000,60988770000 
482,328760000,61317530000 
483,330046000,61647576000 
484,331336000,61978912000 
485,332630000,62311542000 
486,333928000,62645470000 
487,335230000,62980700000 
488,336536000,63317236000 
489,337846000,63655082000 
490,339160000,63994242000 
491,340477000,64334719000 
492,341798000,64676517000 
493,343123000,65019640000 
494,344452000,65364092000 
495,345785000,65709877000 
496,347122000,66056999000 
497,348463000,66405462000 
498,349808000,66755270000 
499,351157000,67106427000 
500,352510000,67458937000 
501,353868000,67812805000 
502,355230000,68168035000 
503,356596000,68524631000 
504,357966000,68882597000 
505,359340000,69241937000 
506,360718000,69602655000 
507,362100000,69964755000 
508,363486000,70328241000 
509,364876000,70693117000 
510,366271000,71059388000 
511,367670000,71427058000 
512,369073000,71796131000 
513,370480000,72166611000 
514,371891000,72538502000 
515,373307000,72911809000 
516,374727000,73286536000 
517,376151000,73662687000 
518,377579000,74040266000 
519,379012000,74419278000 
520,380449000,74799727000 
521,381890000,75181617000 
522,383336000,75564953000 
523,384786000,75949739000 
524,386240000,76335979000 
525,387699000,76723678000 
526,389162000,77112840000 
527,390629000,77503469000 
528,392101000,77895570000 
529,393577000,78289147000 
530,395058000,78684205000 
531,396543000,79080748000 
532,398033000,79478781000 
533,399527000,79878308000 
534,401026000,80279334000 
535,402529000,80681863000 
536,404037000,81085900000 
537,405549000,81491449000 
538,407066000,81898515000 
539,408587000,82307102000 
540,410113000,82717215000 
541,411643000,83128858000 
542,413178000,83542036000 
543,414718000,83956754000 
544,416262000,84373016000 
545,417811000,84790827000 
546,419364000,85210191000 
547,420922000,85631113000 
548,422485000,86053598000 
549,424052000,86477650000 
550,425624000,86903274000 
551,427201000,87330475000 
552,428783000,87759258000 
553,430369000,88189627000 
554,431960000,88621587000 
555,433556000,89055143000 
556,435157000,89490300000 
557,436762000,89927062000 
558,438372000,90365434000 
559,439987000,90805421000 
560,441607000,91247028000 
561,443232000,91690260000 
562,444862000,92135122000 
563,446497000,92581619000 
564,448136000,93029755000 
565,449780000,93479535000 
566,451429000,93930964000 
567,453083000,94384047000 
568,454742000,94838789000 
569,456406000,95295195000 
570,458075000,95753270000 
571,459749000,96213019000 
572,461428000,96674447000 
573,463112000,97137559000 
574,464801000,97602360000 
575,466495000,98068855000 
576,468194000,98537049000 
577,469899000,99006948000 
578,471609000,99478557000 
579,473324000,99951881000 
580,475044000,100426925000 
581,476769000,100903694000 
582,478499000,101382193000 
583,480234000,101862427000 
584,481975000,102344402000 
585,483721000,102828123000 
586,485472000,103313595000 
587,487228000,103800823000 
588,488990000,104289813000 
589,490757000,104780570000 
590,492529000,105273099000 
591,494307000,105767406000 
592,496090000,106263496000 
593,497878000,106761374000 
594,499672000,107261046000 
595,501471000,107762517000 
596,503275000,108265792000 
597,505085000,108770877000 
598,506900000,109277777000 
599,508721000,109786498000 
600,510547000,110297045000 
601,512379000,110809424000 
602,514216000,111323640000 
603,516059000,111839699000 
604,517907000,112357606000 
605,519761000,112877367000 
606,521620000,113398987000 
607,523485000,113922472000 
608,525355000,114447827000 
609,527231000,114975058000 
610,529113000,115504171000 
611,531000000,116035171000 
612,532893000,116568064000 
613,534792000,117102856000 
614,536696000,117639552000 
615,538606000,118178158000 
616,540522000,118718680000 
617,542444000,119261124000 
618,544371000,119805495000 
619,546304000,120351799000 
620,548243000,120900042000 
621,550188000,121450230000 
622,552139000,122002369000 
623,554095000,122556464000 
624,556057000,123112521000 
625,558025000,123670546000 
626,559999000,124230545000 
627,561979000,124792524000 
628,563965000,125356489000 
629,565957000,125922446000 
630,567955000,126490401000 
631,569959000,127060360000 
632,571969000,127632329000 
633,573985000,128206314000 
634,576007000,128782321000 
635,578035000,129360356000 
636,580069000,129940425000 
637,582109000,130522534000 
638,584155000,131106689000 
639,586207000,131692896000 
640,588266000,132281162000 
641,590331000,132871493000 
642,592402000,133463895000 
643,594479000,134058374000 
644,596562000,134654936000 
645,598652000,135253588000 
646,600748000,135854336000 
647,602850000,136457186000 
648,604959000,137062145000 
649,607074000,137669219000 
650,609195000,138278414000 
651,611323000,138889737000 
652,613457000,139503194000 
653,615597000,140118791000 
654,617744000,140736535000 
655,619897000,141356432000 
656,622057000,141978489000 
657,624223000,142602712000 
658,626396000,143229108000 
659,628575000,143857683000 
660,630761000,144488444000 
661,632953000,145121397000 
662,635152000,145756549000 
663,637357000,146393906000 
664,639569000,147033475000 
665,641788000,147675263000 
666,644013000,148319276000 
667,646245000,148965521000 
668,648484000,149614005000 
669,650729000,150264734000 
670,652981000,150917715000 
671,655240000,151572955000 
672,657506000,152230461000 
673,659779000,152890240000 
674,662058000,153552298000 
675,664344000,154216642000 
676,666637000,154883279000 
677,668937000,155552216000 
678,671244000,156223460000 
679,673558000,156897018000 
680,675879000,157572897000 
681,678207000,158251104000 
682,680542000,158931646000 
683,682884000,159614530000 
684,685233000,160299763000 
685,687589000,160987352000 
686,689952000,161677304000 
687,692322000,162369626000 
688,694699000,163064325000 
689,697083000,163761408000 
690,699474000,164460882000 
691,701872000,165162754000 
692,704278000,165867032000 
693,706691000,166573723000 
694,709111000,167282834000 
695,711538000,167994372000 
696,713973000,168708345000 
697,716415000,169424760000 
698,718864000,170143624000 
699,721321000,170864945000 
700,723785000,171588730000 
701,726256000,172314986000 
702,728735000,173043721000 
703,731221000,173774942000 
704,733715000,174508657000 
705,736216000,175244873000 
706,738725000,175983598000 
707,741241000,176724839000 
708,743765000,177468604000 
709,746296000,178214900000 
710,748835000,178963735000 
711,751382000,179715117000 
712,753936000,180469053000 
713,756498000,181225551000 
714,759067000,181984618000 
715,761644000,182746262000 
716,764229000,183510491000 
717,766822000,184277313000 
718,769422000,185046735000 
719,772030000,185818765000 
720,774646000,186593411000 
721,777270000,187370681000 
722,779902000,188150583000 
723,782542000,188933125000 
724,785190000,189718315000 
725,787846000,190506161000 
726,790510000,191296671000 
727,793182000,192089853000 
728,795862000,192885715000 
729,798550000,193684265000 
730,801246000,194485511000 
731,803950000,195289461000 
732,806662000,196096123000 
733,809382000,196905505000 
734,812110000,197717615000 
735,814846000,198532461000 
736,817591000,199350052000 
737,820344000,200170396000 
738,823105000,200993501000 
739,825874000,201819375000 
740,828652000,202648027000 
741,831438000,203479465000 
742,834232000,204313697000 
743,837035000,205150732000 
744,839846000,205990578000 
745,842666000,206833244000 
746,845494000,207678738000 
747,848330000,208527068000 
748,851175000,209378243000 
749,854029000,210232272000 
750,856891000,211089163000 
751,859762000,211948925000 
752,862641000,212811566000 
753,865529000,213677095000 
754,868426000,214545521000 
755,871331000,215416852000 
756,874245000,216291097000 
757,877168000,217168265000 
758,880100000,218048365000 
759,883040000,218931405000 
760,885989000,219817394000 
761,888947000,220706341000 
762,891914000,221598255000 
763,894890000,222493145000 
764,897875000,223391020000 
765,900869000,224291889000 
766,903872000,225195761000 
767,906884000,226102645000 
768,909905000,227012550000 
769,912935000,227925485000 
770,915974000,228841459000 
771,919022000,229760481000 
772,922079000,230682560000 
773,925145000,231607705000 
774,928220000,232535925000 
775,931305000,233467230000 
776,934399000,234401629000 
777,937502000,235339131000 
778,940615000,236279746000 
779,943737000,237223483000 
780,946868000,238170351000 
781,950009000,239120360000 
782,953159000,240073519000 
783,956318000,241029837000 
784,959487000,241989324000 
785,962665000,242951989000 
786,965853000,243917842000 
787,969051000,244886893000 
788,972258000,245859151000 
789,975475000,246834626000 
790,978701000,247813327000 
791,981937000,248795264000 
792,985183000,249780447000 
793,988439000,250768886000 
794,991704000,251760590000 
795,994979000,252755569000 
796,998264000,253753833000 
797,1001559000,254755392000 
798,1004864000,255760256000 
799,1008179000,256768435000 
800,1011504000,257779939000 
801,1014839000,258794778000 
802,1018184000,259812962000 
803,1021539000,260834501000 
804,1024904000,261859405000 
805,1028279000,262887684000 
806,1031664000,263919348000 
807,1035059000,264954407000 
808,1038464000,265992871000 
809,1041879000,267034750000 
810,1045305000,268080055000 
811,1048741000,269128796000 
812,1052187000,270180983000 
813,1055644000,271236627000 
814,1059111000,272295738000 
815,1062588000,273358326000 
816,1066076000,274424402000 
817,1069574000,275493976000 
818,1073083000,276567059000 
819,1076602000,277643661000 
820,1080132000,278723793000 
821,1083672000,279807465000 
822,1087223000,280894688000 
823,1090785000,281985473000 
824,1094357000,283079830000 
825,1097940000,284177770000 
826,1101534000,285279304000 
827,1105139000,286384443000 
828,1108754000,287493197000 
829,1112380000,288605577000 
830,1116017000,289721594000 
831,1119665000,290841259000 
832,1123324000,291964583000 
833,1126994000,293091577000 
834,1130675000,294222252000 
835,1134367000,295356619000 
836,1138070000,296494689000 
837,1141784000,297636473000 
838,1145509000,298781982000 
839,1149246000,299931228000 
840,1152994000,301084222000 
841,1156753000,302240975000 
842,1160523000,303401498000 
843,1164305000,304565803000 
844,1168098000,305733901000 
845,1171902000,306905803000 
846,1175718000,308081521000 
847,1179545000,309261066000 
848,1183384000,310444450000 
849,1187234000,311631684000 
850,1191096000,312822780000 
851,1194969000,314017749000 
852,1198854000,315216603000 
853,1202751000,316419354000 
854,1206659000,317626013000 
855,1210579000,318836592000 
856,1214511000,320051103000 
857,1218455000,321269558000 
858,1222410000,322491968000 
859,1226377000,323718345000 
860,1230356000,324948701000 
861,1234347000,326183048000 
862,1238350000,327421398000 
863,1242365000,328663763000 
864,1246392000,329910155000 
865,1250431000,331160586000 
866,1254482000,332415068000 
867,1258545000,333673613000 
868,1262621000,334936234000 
869,1266709000,336202943000 
870,1270809000,337473752000 
871,1274921000,338748673000 
872,1279046000,340027719000 
873,1283183000,341310902000 
874,1287333000,342598235000 
875,1291495000,343889730000 
876,1295669000,345185399000 
877,1299856000,346485255000 
878,1304056000,347789311000 
879,1308268000,349097579000 
880,1312493000,350410072000 
881,1316730000,351726802000 
882,1320980000,353047782000 
883,1325243000,354373025000 
884,1329519000,355702544000 
885,1333808000,357036352000 
886,1338109000,358374461000 
887,1342423000,359716884000 
888,1346750000,361063634000 
889,1351090000,362414724000 
890,1355443000,363770167000 
891,1359809000,365129976000 
892,1364188000,366494164000 
893,1368581000,367862745000 
894,1372987000,369235732000 
895,1377406000,370613138000 
896,1381838000,371994976000 
897,1386284000,373381260000 
898,1390743000,374772003000 
899,1395215000,376167218000 
900,1399701000,377566919000 
901,1404200000,378971119000 
902,1408713000,380379832000 
903,1413239000,381793071000 
904,1417779000,383210850000 
905,1422332000,384633182000 
906,1426899000,386060081000 
907,1431480000,387491561000 
908,1436074000,388927635000 
909,1440682000,390368317000 
910,1445304000,391813621000 
911,1449940000,393263561000 
912,1454590000,394718151000 
913,1459254000,396177405000 
914,1463932000,397641337000 
915,1468624000,399109961000 
916,1473330000,400583291000 
917,1478050000,402061341000 
918,1482784000,403544125000 
919,1487532000,405031657000 
920,1492295000,406523952000 
921,1497072000,408021024000 
922,1501863000,409522887000 
923,1506669000,411029556000 
924,1511489000,412541045000 
925,1516323000,414057368000 
926,1521172000,415578540000 
927,1526036000,417104576000 
928,1530914000,418635490000 
929,1535807000,420171297000 
930,1540714000,421712011000 
931,1545636000,423257647000 
932,1550573000,424808220000 
933,1555525000,426363745000 
934,1560492000,427924237000 
935,1565473000,429489710000 
936,1570469000,431060179000 
937,1575480000,432635659000 
938,1580506000,434216165000 
939,1585548000,435801713000 
940,1590605000,437392318000 
941,1595677000,438987995000 
942,1600764000,440588759000 
943,1605866000,442194625000 
944,1610984000,443805609000 
945,1616117000,445421726000 
946,1621265000,447042991000 
947,1626429000,448669420000 
948,1631608000,450301028000 
949,1636803000,451937831000 
950,1642013000,453579844000 
951,1647239000,455227083000 
952,1652481000,456879564000 
953,1657738000,458537302000 
954,1663011000,460200313000 
955,1668300000,461868613000 
956,1673605000,463542218000 
957,1678926000,465221144000 
958,1684263000,466905407000 
959,1689616000,468595023000 
960,1694985000,470290008000 
961,1700370000,471990378000 
962,1705771000,473696149000 
963,1711188000,475407337000 
964,1716622000,477123959000 
965,1722072000,478846031000 
966,1727538000,480573569000 
967,1733021000,482306590000 
968,1738520000,484045110000 
969,1744036000,485789146000 
970,1749568000,487538714000 
971,1755117000,489293831000 
972,1760682000,491054513000 
973,1766264000,492820777000 
974,1771863000,494592640000 
975,1777479000,496370119000 
976,1783111000,498153230000 
977,1788760000,499941990000 
978,1794426000,501736416000 
979,1800109000,503536525000 
980,1805809000,505342334000 
981,1811526000,507153860000 
982,1817261000,508971121000 
983,1823013000,510794134000 
984,1828782000,512622916000 
985,1834568000,514457484000 
986,1840372000,516297856000 
987,1846193000,518144049000 
988,1852032000,519996081000 
989,1857888000,521853969000 
990,1863762000,523717731000 
991,1869653000,525587384000 
992,1875562000,527462946000 
993,1881489000,529344435000 
994,1887433000,531231868000 
995,1893395000,533125263000 
996,1899375000,535024638000 
997,1905373000,536930011000 
998,1911389000,538841400000 
999,0,538841400000 
