ID,ItemID1,ItemCount1,ItemID2,ItemCount2,ItemID3,ItemCount3,ItemID4,ItemCount4,StageAct
900321,103201,1,,,,,,,3
900322,103201,1,103202,1,,,,,3
900323,103201,1,103202,1,103203,1,,,3
900324,,1,103202,1,103203,1,103204,1,3
900325,,,103202,1,103204,1,103304,1,3
900331,103301,1,,,,,,,3
900332,103301,1,103302,1,,,,,3
900333,103301,1,103302,1,103303,1,,,3
900334,,,103302,1,103303,1,103304,1,3
900335,,,103302,1,103304,1,103404,1,3
900341,103401,1,,,,,,,3
900342,103401,1,103102,1,,,,,3
900343,103401,1,103102,1,103203,1,,,3
900344,,,103102,1,103203,1,103304,1,3
900345,,,103102,1,103204,1,103304,1,3
900351,103301,1,,,,,,,3
900352,103301,1,103302,1,,,,,3
900353,103301,1,103302,1,103403,1,,,3
900354,,,103302,1,103403,1,103404,1,3
900355,,,103302,1,103404,1,103104,1,3
900361,103201,1,,,,,,,3
900362,103201,1,103402,1,,,,,3
900363,103201,1,103402,1,103103,1,,,3
900364,,,103402,1,103103,1,103204,1,3
900365,,,103402,1,103104,1,103204,1,3
900371,103401,1,,,,,,,3
900372,103401,1,103402,1,,,,,3
900373,103401,1,103402,1,103203,1,,,3
900374,,,103402,1,103203,1,103104,1,3
900375,,,103402,1,103204,1,103104,1,3
900381,103101,1,,,,,,,3
900382,103101,1,103202,1,,,,,3
900383,103101,1,103202,1,103303,1,,,3
900384,,,103202,1,103303,1,103404,1,3
900385,,,103202,1,103304,1,103404,1,3
900411,104101,1,,,,,,,4
900412,104101,1,104102,1,,,,,4
900413,104101,1,104102,1,104103,1,,,4
900414,,,104102,1,104103,1,104104,1,4
900415,,,104102,1,104104,1,104204,1,4
900421,104201,1,,,,,,,4
900422,104201,1,104202,1,,,,,4
900423,104201,1,104202,1,104203,1,,,4
900424,,1,104202,1,104203,1,104204,1,4
900425,,,104202,1,104204,1,104304,1,4
900431,104301,1,,,,,,,4
900432,104301,1,104302,1,,,,,4
900433,104301,1,104302,1,104303,1,,,4
900434,,,104302,1,104303,1,104304,1,4
900435,,,104302,1,104304,1,104404,1,4
900441,104401,1,,,,,,,4
900442,104401,1,104102,1,,,,,4
900443,104401,1,104102,1,104203,1,,,4
900444,,,104102,1,104203,1,104304,1,4
900445,,,104102,1,104204,1,104304,1,4
900451,104301,1,,,,,,,4
900452,104301,1,104302,1,,,,,4
900453,104301,1,104302,1,104403,1,,,4
900454,,,104302,1,104403,1,104404,1,4
900455,,,104302,1,104404,1,104104,1,4
900461,104201,1,,,,,,,4
900462,104201,1,104402,1,,,,,4
900463,104201,1,104402,1,104103,1,,,4
900464,,,104402,1,104103,1,104204,1,4
900465,,,104402,1,104104,1,104204,1,4
900471,104401,1,,,,,,,4
900472,104401,1,104402,1,,,,,4
900473,104401,1,104402,1,104203,1,,,4
900474,,,104402,1,104203,1,104104,1,4
900475,,,104402,1,104204,1,104104,1,4
900481,104101,1,,,,,,,4
900482,104101,1,104202,1,,,,,4
900483,104101,1,104202,1,104303,1,,,4
900484,,,104202,1,104303,1,104404,1,4
900485,,,104202,1,104304,1,104404,1,4
909801,199801,1,,,,,,,808
909802,199801,2,,,,,,,808
909803,199801,3,,,,,,,808
909804,199801,4,,,,,,,808
909901,199901,1,,,,,,,809
909902,199901,2,,,,,,,809
909903,199901,3,,,,,,,809
909904,199901,4,,,,,,,809
